section,dimension,key,value
claims,by_ingested_by,caribbean_v1,675
claims,by_ingested_by,wto_disputes_v1,645
claims,by_ingested_by,nz_local_acts_v1,611
claims,by_ingested_by,openfec_v1,600
claims,by_ingested_by,openfec_ie_v1,600
claims,by_ingested_by,courtlistener_state_supreme_v1,580
claims,by_ingested_by,south_africa_legislation_v1,578
claims,by_ingested_by,uganda_legislation_v1,576
claims,by_ingested_by,latvia_legislation_v1,567
claims,by_ingested_by,malta_legislation_v1,565
claims,by_ingested_by,frus_v1,551
claims,by_ingested_by,jamaica_legislation_v1,528
claims,by_ingested_by,zimbabwe_legislation_v1,513
claims,by_ingested_by,singapore_legislation_v1,508
claims,by_ingested_by,congress_votes_v1,505
claims,by_ingested_by,un_ga_resolutions_v1,501
claims,by_ingested_by,wikidata_space_missions_v1,500
claims,by_ingested_by,icsid_v1,500
claims,by_ingested_by,courtlistener_scotus_v1,460
claims,by_ingested_by,nato_official_texts_v1,459
claims,by_ingested_by,mauritius_legislation_v1,442
claims,by_ingested_by,rwanda_legislation_v1,438
claims,by_ingested_by,tanzania_legislation_v1,434
claims,by_ingested_by,un_treaties_v1,419
claims,by_ingested_by,ghana_legislation_v1,413
claims,by_ingested_by,scotland_legislation_v1,408
claims,by_ingested_by,sec_edgar_v1,379
claims,by_ingested_by,fda_aesthetic_devices_v1,372
claims,by_ingested_by,central_asia_v1,369
claims,by_ingested_by,tt_legislation_v1,368
claims,by_ingested_by,pubchem_v1,355
claims,by_ingested_by,nist_constants_v1,355
claims,by_ingested_by,namibia_legislation_v1,336
claims,by_ingested_by,malawi_legislation_v1,335
claims,by_ingested_by,eswatini_legislation_v1,326
claims,by_ingested_by,echr_v1,312
claims,by_ingested_by,mexico_legislation_v1,309
claims,by_ingested_by,georgia_legislation_v1,301
claims,by_ingested_by,african_court_v1,300
claims,by_ingested_by,brunei_legislation_v1,288
claims,by_ingested_by,courtlistener_tax_v1,259
claims,by_ingested_by,courtlistener_bia_v1,240
claims,by_ingested_by,openfda_v1,233
claims,by_ingested_by,pdg_particles_v1,226
claims,by_ingested_by,courtlistener_disclosures_v1,218
claims,by_ingested_by,impact_craters_v1,214
claims,by_ingested_by,nuclear_tests_v1,202
claims,by_ingested_by,law-settler,189
claims,by_ingested_by,uspto_v1,182
claims,by_ingested_by,wikidata_chips_v1,182
claims,by_ingested_by,uae_legislation_v1,177
claims,by_ingested_by,who_essential_medicines_v1,147
claims,by_ingested_by,periodic_table_v1,119
claims,by_ingested_by,wikidata_elements_v1,118
claims,by_ingested_by,czech_abs_v1,104
claims,by_ingested_by,wales_senedd_v1,100
claims,by_ingested_by,genbank_v1,99
claims,by_ingested_by,un_ga_v1,97
claims,by_ingested_by,lesotho_legislation_v1,90
claims,by_ingested_by,iau_constellations_v1,88
claims,by_ingested_by,sierra_leone_legislation_v1,83
claims,by_ingested_by,event:exoplanet_retractions_v1,75
claims,by_ingested_by,icc_judgments_v1,74
claims,by_ingested_by,retraction_watch_v1,55
claims,by_ingested_by,icc_cases_v1,35
claims,by_ingested_by,croatia_legislation_v1,33
claims,by_ingested_by,seed:astronomy-trajectories,32
claims,by_ingested_by,seed:nutrition-trajectories,30
claims,by_ingested_by,seed:climate-trajectories,30
claims,by_ingested_by,solar_system_v1,28
claims,by_ingested_by,manual,23
claims,by_ingested_by,nist_webbook_v1,20
claims,by_ingested_by,book-analysis:cmppvaz700000sal1cnyfutdx,16
claims,by_ingested_by,seed-trajectories,11
claims,by_ingested_by,slovenia_legislation_v1,10
claims,by_ingested_by,seed:historical-trajectories,10
claims,by_ingested_by,seed-court-reversals,8
claims,by_ingested_by,iau_v1,5
claims,by_ingested_by,stasi_v1,2
curves,all_claims,claims_with_history,1579930
curves,all_claims,multi_step,241084
curves,all_claims,span_gt1_date,34292
curves,all_claims,followable,3516
curves,all_claims,followable_via_3plus,881
curves,all_claims,followable_via_2span_multicommunity,2635
curves,all_claims,multi_step_spanning,34292
curves,all_claims,multi_community,3333
curves,curated_trajectory_subset,claims_with_history,5557
curves,curated_trajectory_subset,multi_step,5210
curves,curated_trajectory_subset,span_gt1_date,5068
curves,curated_trajectory_subset,followable,3381
curves,curated_trajectory_subset,followable_via_3plus,763
curves,curated_trajectory_subset,followable_via_2span_multicommunity,2618
curves,curated_trajectory_subset,multi_step_spanning,5068
curves,curated_trajectory_subset,multi_community,3203
curves,transition_count_distribution,1,1338846
curves,transition_count_distribution,2,240203
curves,transition_count_distribution,3,831
curves,transition_count_distribution,4,46
curves,transition_count_distribution,5,3
curves,transition_count_distribution,6,1
curves,history_totals,rows,1821999
curves,history_totals,distinct_claims,1579951
curves,transition_matrix,∅->RECORDED,1070939
curves,transition_matrix,∅->SETTLED,495993
curves,transition_matrix,RECORDED->SETTLED,209983
curves,transition_matrix,RECORDED->REVERSED,29392
curves,transition_matrix,∅->REVERSED,12781
curves,transition_matrix,SETTLED->REVERSED,903
curves,transition_matrix,RECORDED->CONTESTED,432
curves,transition_matrix,CONTESTED->SETTLED,323
curves,transition_matrix,SETTLED->CONTESTED,316
curves,transition_matrix,SETTLED->SETTLED,233
curves,transition_matrix,∅->CONTESTED,164
curves,transition_matrix,CONTESTED->REVERSED,139
curves,transition_matrix,∅->OPEN,73
curves,transition_matrix,REVERSED->SETTLED,54
curves,transition_matrix,OPEN->RECORDED,50
curves,transition_matrix,SETTLED->RECORDED,45
curves,transition_matrix,CONTESTED->RECORDED,24
curves,transition_matrix,RECORDED->RECORDED,23
curves,transition_matrix,RECORDED->ABANDONED,21
curves,transition_matrix,CONTESTED->CONTESTED,21
curves,transition_matrix,OPEN->SETTLED,18
curves,transition_matrix,REVERSED->REVERSED,18
curves,transition_matrix,SETTLED->ABANDONED,10
curves,transition_matrix,CONTESTED->ABANDONED,9
curves,transition_matrix,REVERSED->CONTESTED,8
arcs,reversal,claims_with_reversed_transition,43214
arcs,reversed_by_community,EXPERT_LITERATURE,38183
arcs,reversed_by_community,INSTITUTIONAL,4914
arcs,reversed_by_community,JUDICIAL,97
arcs,reversed_by_community,MARKET,16
arcs,reversed_by_community,PUBLIC,14
arcs,retraction_pairs_expert_literature,total,29292
arcs,retraction_pairs_expert_literature,valid_positive_survival,28330
arcs,retraction_pairs_expert_literature,indeterminate,962
arcs,court_reversals,judicial_reversed_claims,97
arcs,court_reversals,judicial_settled_to_reversed_claims,68
arcs,court_reversals,seed_court_reversals_claims,8
seeds,seed:human-history-trajectories,claims,3465
seeds,seed:human-history-trajectories,with_history,3465
seeds,seed:medicine-trajectories,claims,1782
seeds,seed:medicine-trajectories,with_history,1782
seeds,law-settler,claims,189
seeds,law-settler,with_history,189
seeds,seed:astronomy-trajectories,claims,32
seeds,seed:astronomy-trajectories,with_history,32
seeds,seed:nutrition-trajectories,claims,30
seeds,seed:nutrition-trajectories,with_history,30
seeds,seed:climate-trajectories,claims,30
seeds,seed:climate-trajectories,with_history,30
seeds,seed-trajectories,claims,11
seeds,seed-trajectories,with_history,11
seeds,seed:historical-trajectories,claims,10
seeds,seed:historical-trajectories,with_history,10
seeds,seed-court-reversals,claims,8
seeds,seed-court-reversals,with_history,8
sources,totals,total_live,1686671
sources,by_methodology_type,primary,1681825
sources,by_methodology_type,derivative,4772
sources,by_methodology_type,secondary,40
sources,by_methodology_type,opinion,34
db_quick_check,totals,claims,1757943
db_quick_check,totals,deletedClaims,21
db_quick_check,totals,edges,1718420
db_quick_check,totals,sources,1686671
db_quick_check,totals,books,7
db_quick_check,totals,votes,140491
db_quick_check,totals,polities,2361
db_quick_check,totals,historicalEvents,9
db_quick_check,totals,nullVerification,138010
db_quick_check,totals,orphanedClaims,46589
db_quick_check,totals,dupExternalIds,0
db_quick_check,totals,sourcesNoEdge,30285
arcs,test_curve_stats_task1,total,29292
arcs,test_curve_stats_task1,valid,28330
arcs,test_curve_stats_task1,indeterminate,962
trajectory_subset,totals,curated_trajectory_claims,5557
trajectory_subset,corpus_analysis,total_trajectories,5557
trajectory_subset,corpus_analysis,avg_depth,2.084
trajectory_subset,corpus_analysis,reversal_rate_pct,3.72
trajectory_subset,corpus_analysis,ever_settled_n,5005
trajectory_subset,corpus_analysis,ever_reversed_after_settle_n,186
trajectory_subset,corpus_analysis,contestation_rate_pct,14.09
trajectory_subset,corpus_analysis,detour_rate_pct,13.73
trajectory_subset,corpus_analysis,settlement_velocity_median_years,6.6
trajectory_subset,corpus_analysis,settlement_velocity_n,4064
trajectory_subset,endpoint_distribution,SETTLED,4610
trajectory_subset,endpoint_distribution,RECORDED,128
trajectory_subset,endpoint_distribution,CONTESTED,313
trajectory_subset,endpoint_distribution,REVERSED,470
trajectory_subset,endpoint_distribution,ABANDONED,28
trajectory_subset,endpoint_distribution,UNRESOLVABLE,4
trajectory_subset,endpoint_distribution,OPEN,4
coverage,curveless_by_pipeline_noHistory,nara_catalog_v1,91788
coverage,curveless_by_pipeline_noHistory,chebi_v1,36591
coverage,curveless_by_pipeline_noHistory,jacar_v1,30767
coverage,curveless_by_pipeline_noHistory,rxnorm_v1,14632
coverage,curveless_by_pipeline_noHistory,omim_v1,1512
coverage,curveless_by_pipeline_noHistory,ofac_sdn_v1,1311
coverage,curveless_by_pipeline_noHistory,pubchem_v1,355
coverage,curveless_by_pipeline_noHistory,impact_craters_v1,214
coverage,curveless_by_pipeline_noHistory,wikidata_chips_v1,132
coverage,curveless_by_pipeline_noHistory,periodic_table_v1,119
coverage,curveless_by_pipeline_noHistory,africanlii_v1,70
coverage,curveless_by_pipeline_noHistory,paclii_legislation_v1,64
