original_url,action,new_url,source_ids,note
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA2Ng%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA2Ng%3D%3D,cmpj11n2y0gb1plb9osrviloj,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA3Nw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA3Nw%3D%3D,cmpj11ngi0gbdplb9vtcgdnxn,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA2NQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA2NQ%3D%3D,cmpj11mwg0gavplb97gixb7p7,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA4Mw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA4Mw%3D%3D,cmpj11nnu0gbjplb902ar27tb,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA4Nw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA4Nw%3D%3D,cmpj11nu60gbpplb9vqe0qpm9,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA5Ng%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA5Ng%3D%3D,cmpj11o0u0gbvplb9hk2xs6to,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA5OA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA5OA%3D%3D,cmpj11o750gc1plb94ite2sjb,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEwNA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEwNA%3D%3D,cmpj124yz0gcdplb9cedlu6fo,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA5OQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTA5OQ%3D%3D,cmpj124te0gc7plb94umnooj1,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTExMA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTExMA%3D%3D,cmpj125a70gcpplb9ewwygtpd,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEwNw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEwNw%3D%3D,cmpj1254n0gcjplb9jwonsedr,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEyNw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEyNw%3D%3D,cmpj1268v0gdpplb9dk5dnnkt,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEyOQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTEyOQ%3D%3D,cmpj126ju0ge1plb9kz9a2js7,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTExNA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNTExNA%3D%3D,cmpj125g50gcvplb94kgfiwnm,404: 404 Not Found
